ProteinID	Gene
CD34+AF8-HUMAN	CD34
CD36+AF8-HUMAN	CD36
CD37+AF8-HUMAN	CD37
CD38+AF8-HUMAN	CD38
CD3D+AF8-HUMAN	CD3D
CD3G+AF8-HUMAN	CD3G
CD40L+AF8-HUMAN	CD40LG
CD44+AF8-HUMAN	CD44
CD47+AF8-HUMAN	CD47
CD48+AF8-HUMAN	CD48
CD4+AF8-HUMAN	CD4
CD52+AF8-HUMAN	CD52
CD53+AF8-HUMAN	CD53
CD59+AF8-HUMAN	CD59
CD5+AF8-HUMAN	CD5
CD63+AF8-HUMAN	CD63
CD68+AF8-HUMAN	CD68
CD69+AF8-HUMAN	CD69
CD6+AF8-HUMAN	CD6
CD70+AF8-HUMAN	CD70
CD79A+AF8-HUMAN	CD79A
CD79B+AF8-HUMAN	CD79B
CD7+AF8-HUMAN	CD7
CD80+AF8-HUMAN	CD80
CD82+AF8-HUMAN	CD82
CD83+AF8-HUMAN	CD83
CD86+AF8-HUMAN	CD86
CD8A+AF8-HUMAN	CD8A
CD8B+AF8-HUMAN	CD8B
CD9+AF8-HUMAN	CD9
CDCP1+AF8-HUMAN	CDCP1
CDHR1+AF8-HUMAN	CDHR1
CDHR2+AF8-HUMAN	CDHR2
CDHR3+AF8-HUMAN	CDHR3
CDHR4+AF8-HUMAN	CDHR4
CDHR5+AF8-HUMAN	CDHR5
CDON+AF8-HUMAN	CDON
CEA19+AF8-HUMAN	CEACAM19
CEA20+AF8-HUMAN	CEACAM20
CEA21+AF8-HUMAN	CEACAM21
CEAM1+AF8-HUMAN	CEACAM1
CEAM3+AF8-HUMAN	CEACAM3
CEAM4+AF8-HUMAN	CEACAM4
CEAM5+AF8-HUMAN	CEACAM5
CEAM6+AF8-HUMAN	CEACAM6
CEAM7+AF8-HUMAN	CEACAM7
CEAM8+AF8-HUMAN	CEACAM8
CELR1+AF8-HUMAN	CELSR1
CELR2+AF8-HUMAN	CELSR2
CELR3+AF8-HUMAN	CELSR3
CFC1+AF8-HUMAN	CFC1
CGT+AF8-HUMAN	UGT8
CHODL+AF8-HUMAN	CHODL
CHPT1+AF8-HUMAN	CHPT1
CK024+AF8-HUMAN	C11orf24
CK087+AF8-HUMAN	C11orf87
CL12A+AF8-HUMAN	CLEC12A
CL12B+AF8-HUMAN	CLEC12B
CL17A+AF8-HUMAN	CLEC17A
CLC14+AF8-HUMAN	CLEC14A
CLC1A+AF8-HUMAN	CLEC1A
CLC1B+AF8-HUMAN	CLEC1B
CLC2D+AF8-HUMAN	CLEC2D
CLC4G+AF8-HUMAN	CLEC4G
CLC4M+AF8-HUMAN	CLEC4M
CLC5A+AF8-HUMAN	CLEC5A
CLC7A+AF8-HUMAN	CLEC7A
CLC9A+AF8-HUMAN	CLEC9A
CLCA2+AF8-HUMAN	CLCA2
CLCA4+AF8-HUMAN	CLCA4
CLCKB+AF8-HUMAN	CLCNKB
CLD10+AF8-HUMAN	CLDN10
CLD11+AF8-HUMAN	CLDN11
CLD12+AF8-HUMAN	CLDN12
